Entity,Code,Year,Annual CO? emissions (tonnes)
United Kingdom,GBR,2017,384706788.6
United States,USA,2017,5269529513
Uruguay,URY,2017,6840339.75
Uzbekistan,UZB,2017,98998947.27
Vanuatu,VUT,2017,181363.53
Venezuela,VEN,2017,159567635.4
Vietnam,VNM,2017,198826548.8
Wallis and Futuna Islands,,2017,25909.08
World,OWID_WRL,2017,36153261645
Yemen,YEM,2017,18965754.79
Zambia,ZMB,2017,4746148.03
Zimbabwe,ZWE,2017,10397718.47
